/home/ec2-user/venv/lib64/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
Connected to Coinbase WebSocket
Sent: BTC-USD | $64040.73 (Buffer: 10/100)
Sent: BTC-USD | $64040.73 (Buffer: 11/100)
Sent: BTC-USD | $64040.73 (Buffer: 12/100)
Sent: BTC-USD | $64040.73 (Buffer: 13/100)
Sent: BTC-USD | $64040.73 (Buffer: 14/100)
Sent: BTC-USD | $64040.73 (Buffer: 15/100)
Sent: BTC-USD | $64040.73 (Buffer: 16/100)
Sent: SOL-USD | $73.84 (Buffer: 17/100)
Sent: BTC-USD | $64040.73 (Buffer: 18/100)
Sent: SOL-USD | $73.84 (Buffer: 19/100)
Sent: BTC-USD | $64040.74 (Buffer: 20/100)
Sent: SOL-USD | $73.84 (Buffer: 21/100)
Sent: SOL-USD | $73.83 (Buffer: 22/100)
Sent: BTC-USD | $64040.73 (Buffer: 23/100)
Sent: BTC-USD | $64040.73 (Buffer: 24/100)
Sent: BTC-USD | $64040.73 (Buffer: 25/100)
Sent: BTC-USD | $64040.73 (Buffer: 26/100)
Sent: BTC-USD | $64040.74 (Buffer: 27/100)
Sent: BTC-USD | $64040.73 (Buffer: 28/100)
Sent: BTC-USD | $64040.73 (Buffer: 29/100)
Sent: BTC-USD | $64040.73 (Buffer: 30/100)
Sent: BTC-USD | $64040.73 (Buffer: 31/100)
Sent: BTC-USD | $64040.73 (Buffer: 32/100)
Sent: BTC-USD | $64040.73 (Buffer: 33/100)
Sent: BTC-USD | $64040.73 (Buffer: 34/100)
Sent: BTC-USD | $64040.73 (Buffer: 35/100)
Sent: BTC-USD | $64040.73 (Buffer: 36/100)
Sent: BTC-USD | $64040.73 (Buffer: 37/100)
Sent: BTC-USD | $64040.73 (Buffer: 38/100)
Sent: BTC-USD | $64040.73 (Buffer: 39/100)
Sent: BTC-USD | $64040.73 (Buffer: 40/100)
Sent: BTC-USD | $64040.73 (Buffer: 41/100)
Sent: BTC-USD | $64040.73 (Buffer: 42/100)
Sent: BTC-USD | $64040.73 (Buffer: 43/100)
Sent: BTC-USD | $64040.73 (Buffer: 44/100)
Sent: BTC-USD | $64040.73 (Buffer: 45/100)
Sent: BTC-USD | $64040.74 (Buffer: 46/100)
Sent: SOL-USD | $73.84 (Buffer: 47/100)
Sent: BTC-USD | $64040.73 (Buffer: 48/100)
Sent: BTC-USD | $64040.73 (Buffer: 49/100)
Sent: BTC-USD | $64040.73 (Buffer: 50/100)
Sent: BTC-USD | $64040.73 (Buffer: 51/100)
📦 Flushed 51 trades to S3: raw_batch/batch_20260725_125240_51.json
Sent: BTC-USD | $64040.73 (Buffer: 1/100)
Sent: BTC-USD | $64040.73 (Buffer: 2/100)
Sent: BTC-USD | $64040.73 (Buffer: 3/100)
Sent: BTC-USD | $64040.74 (Buffer: 4/100)
Sent: BTC-USD | $64040.73 (Buffer: 5/100)
Sent: BTC-USD | $64040.73 (Buffer: 6/100)
Sent: BTC-USD | $64040.73 (Buffer: 7/100)
Sent: BTC-USD | $64040.73 (Buffer: 8/100)
Sent: BTC-USD | $64040.73 (Buffer: 9/100)
Sent: BTC-USD | $64040.73 (Buffer: 10/100)
Sent: BTC-USD | $64040.73 (Buffer: 11/100)
Sent: SOL-USD | $73.84 (Buffer: 12/100)
Sent: BTC-USD | $64040.73 (Buffer: 13/100)
Sent: BTC-USD | $64040.73 (Buffer: 14/100)
Sent: BTC-USD | $64040.73 (Buffer: 15/100)
Sent: BTC-USD | $64040.73 (Buffer: 16/100)
Sent: SOL-USD | $73.84 (Buffer: 17/100)
Sent: BTC-USD | $64040.73 (Buffer: 18/100)
Sent: BTC-USD | $64040.73 (Buffer: 19/100)
Sent: BTC-USD | $64040.73 (Buffer: 20/100)
Sent: BTC-USD | $64040.73 (Buffer: 21/100)
Sent: ETH-USD | $1857.39 (Buffer: 22/100)
Sent: BTC-USD | $64040.73 (Buffer: 23/100)
Sent: BTC-USD | $64040.74 (Buffer: 24/100)
Sent: ETH-USD | $1857.38 (Buffer: 25/100)
Sent: BTC-USD | $64040.73 (Buffer: 26/100)
Sent: BTC-USD | $64040.73 (Buffer: 27/100)
Sent: ETH-USD | $1857.39 (Buffer: 28/100)
Sent: BTC-USD | $64040.73 (Buffer: 29/100)
Sent: ETH-USD | $1857.38 (Buffer: 30/100)
